Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	CIRCULATION	"158	218"	23.603	0.20502
2	EUROPEAN HEART JOURNAL	"59	968"	22.673	0.14062
3	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	"101	927"	20.589	0.19028
4	Nature Reviews Cardiology	"7	100"	20.26	0.02113
5	CIRCULATION RESEARCH	"51	539"	14.467	0.07147
6	JAMA Cardiology	"4	740"	12.794	0.03011
7	JACC-Cardiovascular Imaging	"10	110"	12.74	0.02755
8	BASIC RESEARCH IN CARDIOLOGY	"4	704"	11.981	0.00638
9	EUROPEAN JOURNAL OF HEART FAILURE	"12	784"	11.627	0.0287
10	ANGIOGENESIS	"3	571"	9.78	0.00548
11	JACC-Heart Failure	"4	117"	8.75	0.01918
12	JACC-Cardiovascular Interventions	"11	371"	8.432	0.03733
13	CARDIOVASCULAR RESEARCH	"21	526"	8.168	0.01995
14	JOURNAL OF HEART AND LUNG TRANSPLANTATION	"12	465"	7.865	0.02814
15	HYPERTENSION	"36	242"	7.713	0.04684
16	Journal of Stroke	"1	247"	7.47	0.00424
17	Cardiovascular Diabetology	"6	179"	7.332	0.01139
18	STROKE	"66	466"	7.19	0.07801
19	PROGRESS IN CARDIOVASCULAR DISEASES	"4	193"	6.763	0.00834
20	European Heart Journal-Cardiovascular Pharmacotherapy	521	6.696	0.00164
21	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY	"32	385"	6.604	0.03208
22	Circulation-Heart Failure	"6	773"	6.033	0.01849
23	European Journal of Preventive Cardiology	"5	589"	5.864	0.01537
24	HEART RHYTHM	"12	246"	5.731	0.02862
25	Circulation-Cardiovascular Imaging	"5	574"	5.691	0.01632
26	JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY	"11	347"	5.508	0.01823
27	Circulation-Cardiovascular Interventions	"5	012"	5.493	0.01814
28	JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE	"5	205"	5.361	0.01112
29	EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY	"9	932"	5.328	0.01351
30	Clinical Research in Cardiology	"3	321"	5.268	0.00728
